dataset_name,adaptation_method,run_name,model_name,image_size,setting,seed,n_train,k,threshold,positive_neighbors_needed,class_name,true_positive_rate,predicted_positive_rate,accuracy,f1,auc
chestmnist,frozen_feature_knn,rad_dino_518,microsoft/rad-dino,518,full,full,78468,100,0.15,15,infiltration,0.17987342178821564,0.4419288635253906,0.5994295391746145,0.35579128440366975,0.651449986745742
chestmnist,frozen_feature_knn,rad_dino_518,microsoft/rad-dino,518,full,full,78468,100,0.15,15,mass,0.05570906400680542,0.05856136977672577,0.9149656832159729,0.25585023400936036,0.7649242212573155
chestmnist,frozen_feature_knn,rad_dino_518,microsoft/rad-dino,518,full,full,78468,100,0.15,15,nodule,0.05463945120573044,0.008378643542528152,0.9409038238702202,0.06223479490806223,0.6135619469911303
chestmnist,frozen_feature_knn,rad_dino_518,microsoft/rad-dino,518,full,full,78468,100,0.15,15,pneumonia,0.011854888871312141,0.0,0.9881451109724574,0.0,0.6576770267722345
chestmnist,frozen_feature_knn,rad_dino_518,microsoft/rad-dino,518,full,full,78468,100,0.15,15,pneumothorax,0.04492378979921341,0.034940727055072784,0.9377841162313931,0.22098214285714285,0.7834052729818014
chestmnist,frozen_feature_knn,rad_dino_518,microsoft/rad-dino,518,full,full,78468,100,0.15,15,consolidation,0.0398431234061718,0.027364293113350868,0.9402798823424547,0.11140583554376658,0.7686399655748477
chestmnist,frozen_feature_knn,rad_dino_518,microsoft/rad-dino,518,full,full,78468,100,0.15,15,edema,0.017826899886131287,0.01702469028532505,0.9719226312505571,0.19437340153452684,0.8588258916417097
chestmnist,frozen_feature_knn,rad_dino_518,microsoft/rad-dino,518,full,full,78468,100,0.15,15,emphysema,0.018539976328611374,0.0009804795263335109,0.9804795436313397,0.0,0.7414940828402368
chestmnist,frozen_feature_knn,rad_dino_518,microsoft/rad-dino,518,full,full,78468,100,0.15,15,fibrosis,0.01479632779955864,0.0,0.9852036723415635,0.0,0.6715158834923517
chestmnist,frozen_feature_knn,rad_dino_518,microsoft/rad-dino,518,full,full,78468,100,0.15,15,pleural,0.03315803408622742,0.0027631695847958326,0.9653266779570372,0.034739454094292806,0.719053804084376
chestmnist,frozen_feature_knn,rad_dino_518,microsoft/rad-dino,518,full,full,78468,100,0.15,15,hernia,0.0036545146722346544,0.0,0.9963454853373741,0.0,0.6961278469467465
chestmnist,frozen_feature_knn,rad_dino_518,microsoft/rad-dino,518,full,full,78468,100,0.2,20,atelectasis,0.09974151104688644,0.11008111387491226,0.8552455655584277,0.31011045029736617,0.749383024093294
chestmnist,frozen_feature_knn,rad_dino_518,microsoft/rad-dino,518,full,full,78468,100,0.2,20,cardiomegaly,0.021392280235886574,0.0024066315963864326,0.97869685355201,0.10486891385767791,0.8364694340711054
chestmnist,frozen_feature_knn,rad_dino_518,microsoft/rad-dino,518,full,full,78468,100,0.2,20,effusion,0.11516177654266357,0.21231839060783386,0.8119261966307157,0.4256940664126293,0.821200374186671
chestmnist,frozen_feature_knn,rad_dino_518,microsoft/rad-dino,518,full,full,78468,100,0.2,20,infiltration,0.17987342178821564,0.25929227471351624,0.7157500668508779,0.3527501522224477,0.651449986745742
chestmnist,frozen_feature_knn,rad_dino_518,microsoft/rad-dino,518,full,full,78468,100,0.2,20,mass,0.05570906400680542,0.02780996449291706,0.9325251804973705,0.192102454642476,0.7649242212573155
chestmnist,frozen_feature_knn,rad_dino_518,microsoft/rad-dino,518,full,full,78468,100,0.2,20,nodule,0.05463945120573044,0.00035653801751323044,0.9453605490685444,0.006482982171799027,0.6135619469911303
chestmnist,frozen_feature_knn,rad_dino_518,microsoft/rad-dino,518,full,full,78468,100,0.2,20,pneumonia,0.011854888871312141,0.0,0.9881451109724574,0.0,0.6576770267722345
chestmnist,frozen_feature_knn,rad_dino_518,microsoft/rad-dino,518,full,full,78468,100,0.2,20,pneumothorax,0.04492378979921341,0.011765754781663418,0.9497281397629023,0.11320754716981132,0.7834052729818014
chestmnist,frozen_feature_knn,rad_dino_518,microsoft/rad-dino,518,full,full,78468,100,0.2,20,consolidation,0.0398431234061718,0.0025849007070064545,0.9593546661912826,0.04201680672268908,0.7686399655748477
chestmnist,frozen_feature_knn,rad_dino_518,microsoft/rad-dino,518,full,full,78468,100,0.2,20,edema,0.017826899886131287,0.004278456326574087,0.9802121401194402,0.10483870967741936,0.8588258916417097
chestmnist,frozen_feature_knn,rad_dino_518,microsoft/rad-dino,518,full,full,78468,100,0.2,20,emphysema,0.018539976328611374,0.0,0.981460023174971,0.0,0.7414940828402368
chestmnist,frozen_feature_knn,rad_dino_518,microsoft/rad-dino,518,full,full,78468,100,0.2,20,fibrosis,0.01479632779955864,0.0,0.9852036723415635,0.0,0.6715158834923517
chestmnist,frozen_feature_knn,rad_dino_518,microsoft/rad-dino,518,full,full,78468,100,0.2,20,pleural,0.03315803408622742,0.0,0.9668419645244675,0.0,0.719053804084376
chestmnist,frozen_feature_knn,rad_dino_518,microsoft/rad-dino,518,full,full,78468,100,0.2,20,hernia,0.0036545146722346544,0.0,0.9963454853373741,0.0,0.6961278469467465
chestmnist,frozen_feature_knn,rad_dino_518,microsoft/rad-dino,518,full,full,78468,100,0.3,30,atelectasis,0.09974151104688644,0.030216597020626068,0.8923255192084856,0.17146776406035666,0.749383024093294
chestmnist,frozen_feature_knn,rad_dino_518,microsoft/rad-dino,518,full,full,78468,100,0.3,30,cardiomegaly,0.021392280235886574,0.00026740352041088045,0.978518584544077,0.00823045267489712,0.8364694340711054
chestmnist,frozen_feature_knn,rad_dino_518,microsoft/rad-dino,518,full,full,78468,100,0.3,30,effusion,0.11516177654266357,0.10098939388990402,0.8713789107763615,0.40494845360824744,0.821200374186671
chestmnist,frozen_feature_knn,rad_dino_518,microsoft/rad-dino,518,full,full,78468,100,0.3,30,infiltration,0.17987342178821564,0.11596398800611496,0.7940101613334521,0.3037059355227478,0.651449986745742
chestmnist,frozen_feature_knn,rad_dino_518,microsoft/rad-dino,518,full,full,78468,100,0.3,30,mass,0.05570906400680542,0.0032979766838252544,0.9440235315090472,0.0513595166163142,0.7649242212573155
chestmnist,frozen_feature_knn,rad_dino_518,microsoft/rad-dino,518,full,full,78468,100,0.3,30,nodule,0.05463945120573044,0.0,0.9453605490685444,0.0,0.6135619469911303
chestmnist,frozen_feature_knn,rad_dino_518,microsoft/rad-dino,518,full,full,78468,100,0.3,30,pneumonia,0.011854888871312141,0.0,0.9881451109724574,0.0,0.6576770267722345
chestmnist,frozen_feature_knn,rad_dino_518,microsoft/rad-dino,518,full,full,78468,100,0.3,30,pneumothorax,0.04492378979921341,0.0006239415379241109,0.954630537481059,0.003913894324853229,0.7834052729818014
chestmnist,frozen_feature_knn,rad_dino_518,microsoft/rad-dino,518,full,full,78468,100,0.3,30,consolidation,0.0398431234061718,0.0,0.960156876726981,0.0,0.7686399655748477
chestmnist,frozen_feature_knn,rad_dino_518,microsoft/rad-dino,518,full,full,78468,100,0.3,30,edema,0.017826899886131287,8.913450437830761e-05,0.9822622337106695,0.009950248756218905,0.8588258916417097
chestmnist,frozen_feature_knn,rad_dino_518,microsoft/rad-dino,518,full,full,78468,100,0.3,30,emphysema,0.018539976328611374,0.0,0.981460023174971,0.0,0.7414940828402368
chestmnist,frozen_feature_knn,rad_dino_518,microsoft/rad-dino,518,full,full,78468,100,0.3,30,fibrosis,0.01479632779955864,0.0,0.9852036723415635,0.0,0.6715158834923517
chestmnist,frozen_feature_knn,rad_dino_518,microsoft/rad-dino,518,full,full,78468,100,0.3,30,pleural,0.03315803408622742,0.0,0.9668419645244675,0.0,0.719053804084376
chestmnist,frozen_feature_knn,rad_dino_518,microsoft/rad-dino,518,full,full,78468,100,0.3,30,hernia,0.0036545146722346544,0.0,0.9963454853373741,0.0,0.6961278469467465
chestmnist,frozen_feature_knn,rad_dino_518,microsoft/rad-dino,518,full,full,78468,100,0.5,50,atelectasis,0.09974151104688644,0.00017826900875661522,0.9002584900615028,0.001784121320249777,0.749383024093294
chestmnist,frozen_feature_knn,rad_dino_518,microsoft/rad-dino,518,full,full,78468,100,0.5,50,cardiomegaly,0.021392280235886574,0.0,0.9786077190480434,0.0,0.8364694340711054
chestmnist,frozen_feature_knn,rad_dino_518,microsoft/rad-dino,518,full,full,78468,100,0.5,50,effusion,0.11516177654266357,0.01337017584592104,0.8875122559942954,0.12482662968099861,0.821200374186671
chestmnist,frozen_feature_knn,rad_dino_518,microsoft/rad-dino,518,full,full,78468,100,0.5,50,infiltration,0.17987342178821564,0.0027631695847958326,0.8196808984758,0.01268911664226452,0.651449986745742
chestmnist,frozen_feature_knn,rad_dino_518,microsoft/rad-dino,518,full,full,78468,100,0.5,50,mass,0.05570906400680542,0.0,0.9442909350209466,0.0,0.7649242212573155
chestmnist,frozen_feature_knn,rad_dino_518,microsoft/rad-dino,518,full,full,78468,100,0.5,50,nodule,0.05463945120573044,0.0,0.9453605490685444,0.0,0.6135619469911303
